epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
91,1934.2,0.56849,0.41379,0.98598,0.97839,0.97781,0.98274,0.9197,0.3935,0.27089,0.87892,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,1954.93,0.59786,0.43394,0.99597,0.97529,0.98221,0.98337,0.92095,0.38733,0.27543,0.88066,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,1975.69,0.56545,0.41176,0.98133,0.97631,0.97713,0.98116,0.92293,0.37935,0.2728,0.86819,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,1996.41,0.57456,0.41769,0.987,0.98187,0.9784,0.98225,0.92345,0.38945,0.26474,0.87173,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,2017.29,0.57733,0.42387,0.99079,0.97414,0.98602,0.97779,0.91307,0.38986,0.27791,0.88235,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,2038.27,0.56824,0.41826,0.97998,0.97683,0.98475,0.98017,0.92102,0.38895,0.26747,0.88114,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,2059.07,0.56719,0.41509,0.98684,0.98043,0.98475,0.98377,0.92182,0.38903,0.27652,0.87719,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,2079.77,0.56573,0.4122,0.98364,0.97659,0.98475,0.98291,0.92553,0.38316,0.2675,0.87746,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,2100.53,0.55738,0.41177,0.98087,0.97679,0.98348,0.98015,0.91975,0.3926,0.26724,0.88302,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
100,2121.33,0.56542,0.41152,0.97799,0.97346,0.97854,0.98204,0.92325,0.38361,0.27085,0.86692,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
101,2142.18,0.55919,0.41356,0.98254,0.97592,0.97843,0.98185,0.92755,0.37334,0.26511,0.86269,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067,0.0201,0.0067
102,2162.95,0.56041,0.40551,0.97877,0.97472,0.98094,0.98246,0.92372,0.37148,0.26825,0.8576,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667,0.020001,0.006667
103,2183.83,0.55524,0.407,0.97905,0.97943,0.9784,0.98109,0.92178,0.37834,0.26693,0.86775,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
104,2204.48,0.56889,0.41272,0.98575,0.97678,0.97967,0.98235,0.92688,0.36253,0.26258,0.85634,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601,0.019803,0.006601
105,2225.23,0.56807,0.41168,0.98322,0.97717,0.97713,0.98108,0.92718,0.36384,0.2619,0.85272,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568,0.019704,0.006568
106,2245.94,0.56441,0.4101,0.98272,0.97159,0.98348,0.98201,0.93347,0.36342,0.26046,0.85091,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
107,2266.59,0.55081,0.3976,0.97449,0.97374,0.98348,0.98397,0.93175,0.36135,0.25909,0.85785,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502,0.019506,0.006502
108,2287.21,0.5593,0.40811,0.97912,0.97615,0.97967,0.98158,0.93169,0.3626,0.25697,0.8551,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469,0.019407,0.006469
109,2309.29,0.55265,0.40245,0.97777,0.97093,0.97967,0.98336,0.9323,0.37638,0.26598,0.86915,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
110,19309,0.56051,0.40627,0.98257,0.97916,0.98094,0.98212,0.92613,0.36898,0.25558,0.85797,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403,0.019209,0.006403
111,19333.3,0.56336,0.40643,0.98499,0.97971,0.98142,0.98324,0.93335,0.3585,0.25309,0.85737,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637,0.01911,0.00637
112,19354.9,0.55255,0.4015,0.97634,0.9826,0.97713,0.98317,0.92514,0.36762,0.25622,0.85428,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
113,19375.7,0.55369,0.40393,0.98051,0.97119,0.98521,0.98357,0.927,0.36794,0.25427,0.86593,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304,0.018912,0.006304
114,19396.5,0.54795,0.39593,0.97614,0.97952,0.97586,0.97749,0.92557,0.36648,0.25648,0.85956,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271,0.018813,0.006271
115,19417.5,0.55309,0.40292,0.97068,0.97591,0.97806,0.98012,0.92853,0.37085,0.25709,0.86729,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238,0.018714,0.006238
116,19438.3,0.54362,0.39625,0.97401,0.98096,0.98197,0.9826,0.93314,0.36868,0.25571,0.86796,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205,0.018615,0.006205
117,19459.2,0.55833,0.39892,0.97575,0.98311,0.98221,0.98429,0.93175,0.36733,0.24986,0.86263,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172,0.018516,0.006172
118,19479.8,0.54564,0.3966,0.97623,0.97961,0.97675,0.98085,0.92814,0.37211,0.25999,0.86757,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139,0.018417,0.006139
119,19500.8,0.54549,0.39093,0.97249,0.97819,0.9784,0.98321,0.93182,0.36486,0.25729,0.86037,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106,0.018318,0.006106
